Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
dtolnay/syn,https://github.com/dtolnay/syn,dtolnay,"Redwood City, California",Rust,"Rust(99.98),Shell(0.02)",Parser for Rust source code,1318738,Apache-2.0,9386,18755,2016/09,3549,5279,256404,179507,435911,2026-05-18 14:38:48,1.4875,103,82,360,3322,371,102,27.49,5,83,482,565,0.1592,85.31,25,14,14,4,2,14,8,22,11
tokio-rs/axum,https://github.com/tokio-rs/axum,davidpdrsn,Denmark,Rust,"Rust(99.99),HTML(0.00),JavaScript(0.00)",HTTP routing and request-handling library for Rust that focuses on ergonomics and modularity,1121919,MIT,1732,4266,2021/05,1820,1937,139963,74366,214329,2026-05-22 07:21:54,1.0643,53,110,223,26017,1401,414,29.55,8,60,1197,1257,0.6907,95.23,4,2,24,10,19,6,13,20,12
tokio-rs/tracing,https://github.com/tokio-rs/tracing,hawkw,California,Rust,"Rust(99.80),Shell(0.20)",Application level tracing for Rust.,2230749,MIT,2225,6873,2019/01,2689,1611,160184,73511,233695,2026-04-29 20:49:43,0.5991,117,145,245,6698,894,305,34.12,20,833,2955,3788,1.4087,78.01,18,10,8,6,12,19,18,8,13
hyperium/hyper,https://github.com/hyperium/hyper,seanmonstar,[Unknown],Rust,"Rust(96.45),C(3.36),Shell(0.15),Makefile(0.04)",An HTTP library for Rust,1044059,MIT,3299,7355,2014/08,4284,2931,155324,114807,270131,2026-05-22 18:06:57,0.6842,113,92,227,16087,1744,413,23.68,19,251,1401,1652,0.3856,84.81,8,24,10,9,10,17,16,10,14
crossbeam-rs/crossbeam,https://github.com/crossbeam-rs/crossbeam,aturon,"Portland, OR, USA",Rust,"Rust(98.64),Shell(0.75),Go(0.32),Python(0.29)",Tools for concurrent programming in Rust,1325713,Apache-2.0,1189,7188,2015/05,4028,2330,192091,112024,304115,2026-02-22 12:40:59,0.5785,122,130,160,8456,549,149,27.14,9,158,2564,2722,0.6758,94.20,16,19,6,12,11,7,19,18,15
SeaQL/sea-orm,https://github.com/SeaQL/sea-orm,tyt2y3,United Kingdom,Rust,"Rust(99.40),HTML(0.22),Shell(0.19),Mermaid(0.18)",🐚 A powerful relational ORM for Rust,5229703,Apache-2.0,339,902,2021/02,1930,3578,345878,97437,443315,2026-04-22 16:28:15,1.8539,49,123,99,9643,700,270,38.57,9,247,658,905,0.4689,72.71,14,3,25,18,25,20,6,19,16
rust-lang/regex,https://github.com/rust-lang/regex,alexcrichton,[Unknown],Rust,"Rust(99.11),C(0.75),Shell(0.13)",An implementation of regular expressions for Rust. This implementation uses finite automata and guarantees linear time matching on all inputs.,5554485,Apache-2.0,3274,17197,2014/12,4181,1596,461976,265334,727310,2026-02-24 15:41:01,0.3817,101,455,230,3957,506,192,37.94,5,68,3029,3097,0.7407,97.80,24,21,16,8,5,2,21,23,17
rayon-rs/rayon,https://github.com/rayon-rs/rayon,nikomatsakis,"Boston, MA",Rust,"Rust(99.98),Shell(0.02)",Rayon: A data parallelism library for Rust,1226627,Apache-2.0,1840,5718,2014/10,4252,2321,95530,51316,146846,2026-04-23 19:59:34,0.5459,139,63,64,13018,588,142,24.15,12,217,2389,2606,0.6129,91.67,10,23,5,22,16,8,20,15,18
async-rs/async-std,https://github.com/async-rs/async-std,skade,Berlin,Rust,"Rust(99.91),Shell(0.09)",Async version of the Rust standard library,740321,Apache-2.0,446,6765,2019/08,2481,1677,70768,39513,110281,2025-08-15 01:42:49,0.6759,63,65,36,4066,340,131,38.53,12,193,7036,7229,2.9137,97.33,23,8,23,25,13,4,17,16,19
pest-parser/pest,https://github.com/pest-parser/pest,dragostis,Timișoara,Rust,"Rust(99.82),Shell(0.18)",The Elegant Parser,1871371,Apache-2.0,191,6127,2016/04,3682,1349,127458,58039,185497,2026-04-19 05:02:46,0.3664,116,137,80,5344,291,134,46.05,12,70,669,739,0.2007,90.53,21,17,9,21,15,10,23,14,20
launchbadge/sqlx,https://github.com/launchbadge/sqlx,mehcode,"Sacramento, CA, USA",Rust,"Rust(98.99),Python(0.69),Shell(0.14),Dockerfile(0.09),PLpgSQL(0.08),TSQL(0.02)","🧰 The Rust SQL Toolkit. An async, pure Rust SQL crate featuring compile-time checked queries without a DSL. Supports PostgreSQL, MySQL, and SQLite.",2547613,Apache-2.0,200,1405,2019/12,2339,2776,279296,153820,433116,2026-05-21 17:30:35,1.1868,70,156,55,17046,1613,440,27.28,19,727,833,1560,0.6670,53.40,6,5,22,24,24,24,12,9,21
rusqlite/rusqlite,https://github.com/rusqlite/rusqlite,hydhknn,[Unknown],Rust,"Rust(99.46),Shell(0.53),C(0.01)",Ergonomic bindings to SQLite for Rust,778456,MIT,1,2002,2014/11,4219,2903,1054483,425828,1480311,2026-05-24 11:30:43,0.6881,119,509,86,4214,470,138,29.36,6,167,968,1135,0.2690,85.29,22,22,7,20,22,15,15,21,22
seanmonstar/reqwest,https://github.com/seanmonstar/reqwest,seanmonstar,[Unknown],Rust,Rust(100.00),An easy and powerful Rust HTTP Client,854967,Apache-2.0,3299,5519,2016/07,3614,1300,72633,36930,109563,2026-05-22 14:48:24,0.3597,88,84,122,11633,1368,381,27.85,15,461,787,1248,0.3453,63.06,11,15,20,14,17,22,24,13,23
dtolnay/thiserror,https://github.com/dtolnay/thiserror,dtolnay,"Redwood City, California",Rust,Rust(100.00),derive(Error) for struct and enum error types,149610,Apache-2.0,9386,17859,2019/10,2419,830,10744,4339,15083,2026-05-21 20:33:32,0.3431,112,18,89,5427,211,22,10.43,1,29,180,209,0.0864,86.12,20,6,11,19,3,13,25,25,24
dtolnay/anyhow,https://github.com/dtolnay/anyhow,dtolnay,"Redwood City, California",Rust,Rust(100.00),Flexible concrete Error type built on std::error::Error,192212,Apache-2.0,9386,11370,2019/10,2423,919,11856,5187,17043,2026-03-24 02:44:29,0.3793,101,18,103,6529,212,25,11.79,1,38,220,258,0.1065,85.27,19,7,15,16,7,16,22,24,25
